Country,Year,food_CPI,temp,gov,FertilizerValue,production_indices,ER,GDP,FDI
Indonesia,2006,44.76209192,0.388,0.16,91.96,90.72,9159.316667,2264.935733,6646.302463
Indonesia,2007,49.66355417,0.43,0.12,105.22,89.88,9141,2377.254993,8405.236854
Indonesia,2008,58.087874,0.226,0.07,109.54,93.37,9698.9625,2487.611297,10152.81284
Indonesia,2009,62.143799,0.532,0.06,110.08,94.99,10389.9375,2569.874213,5256.82803
Indonesia,2010,67.99922783,0.742,0.06,110.01,95.88,9090.433333,2695.86817,11996.37665
Indonesia,2011,73.80996283,0.306,0.15,116.74,96.52,8770.433333,2826.480441,15049.06104
Indonesia,2012,78.13159108,0.432,0.1,144.97,101.52,9386.629167,2959.514478,15441.35026
Indonesia,2013,87.3687765,0.76,0.17,134.03,100.74,10461.24,3086.323117,16118.82822
Indonesia,2014,93.32558108,0.75,0.16,146.38,99.9,11865.2113,3203.484287,20096.88727
Indonesia,2015,100.0214585,0.771,0.23,148.81,101.57,13389.41294,3322.581679,16642.15
Indonesia,2016,107.2616526,1.41,0.12,143.15,98.54,13308.3268,3453.04943,3804.155931
Indonesia,2017,109.3060958,0.957,0.38,151.9,109.48,13380.83388,3591.780029,19250.04394
Indonesia,2018,113.7726185,0.879,0.28,155.38,112.21,14236.93877,3741.305267,19713.26879
Indonesia,2019,115.4133819,1.045,0.26,121.19,110.43,14147.67136,3892.421662,22394.2719
Indonesia,2020,121.0304408,1.233,0.2,133.23,111.27,14582.20347,3780.121635,18039.75948
Indonesia,2021,124.4621805,1.02,0.18,150.83,115.29,14308.1439,3892.962372,18979.79671
Indonesia,2022,131.9039363,0.969,0.2,121.88,116.64,14849.85394,4073.610494,21601.6415
Indonesia,2023,138.3408179,1.101,0.2,NA,115.76,15236.88466,4244.021231,18595.23284
Indonesia,2024,144.7032653,1.472,NA,NA,NA,NA,NA,NA
